"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "MS SQL", "comment", "blank", "total"
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/ClientShareLink.tsx", "TypeScript JSX", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 132
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/CreateJobDialog.tsx", "TypeScript JSX", 531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 581
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/EditJobScheduleDialog.tsx", "TypeScript JSX", 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 313
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/JobAssignments.tsx", "TypeScript JSX", 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 394
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/JobCard.tsx", "TypeScript JSX", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 171
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/JobChecklist.tsx", "TypeScript JSX", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 327
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/MakeRecurringDialog.tsx", "TypeScript JSX", 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 292
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/jobs/RecurringJobDetailModal.tsx", "TypeScript JSX", 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 311
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/layout/FloatingActionButton.tsx", "TypeScript JSX", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 175
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/src/components/layout/ListPageFilters.tsx", "TypeScript JSX", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 85
